City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp (F),Wind Speed (mph)
Waingapu,43,ID,1604294801,53,-9.66,120.26,88.45,9.82
Alofi,90,NU,1604294801,88,-19.06,-169.92,77.0,14.99
Macia,18,MZ,1604294801,72,-25.03,33.1,73.83,0.81
Hofn,0,IS,1604294802,76,64.25,-15.21,35.47,13.6
Codrington,31,AU,1604294802,69,-38.27,141.97,74.68,11.54
Dingle,96,PH,1604294443,77,11.0,122.67,84.24,14.45
Togul,99,RU,1604294802,89,53.47,85.91,34.59,6.87
Āsmār,0,AF,1604294802,18,35.03,71.36,72.12,5.48
Terrace,90,CA,1604294803,53,54.52,-128.6,51.8,14.99
Wajima,75,JP,1604294803,100,37.4,136.9,57.2,6.93
Mossamedes,8,AO,1604294803,79,-15.2,12.15,69.08,2.19
Cavalcante,86,BR,1604294803,91,-13.8,-47.46,67.41,2.75
Mutoko,0,ZW,1604294803,70,-17.4,32.23,66.69,5.88
Scottsbluff,1,US,1604294803,74,41.87,-103.67,53.01,6.93
Jieshi,74,CN,1604294803,55,22.81,115.83,82.99,1.99
Tucuruí,18,BR,1604294605,67,-3.77,-49.67,78.17,3.67
Hambantota,64,LK,1604294804,65,6.12,81.12,85.86,2.26
Visby,90,SE,1604294804,93,57.64,18.3,53.01,18.34
Nyurba,78,RU,1604294804,86,63.28,118.33,8.04,9.95
Fairbanks,1,US,1604294804,75,64.84,-147.72,0.0,2.24
Lindi,51,TZ,1604294804,62,-10.0,39.72,81.66,4.97
Ostrów Mazowiecka,24,PL,1604294700,86,52.8,21.9,45.0,3.0
Itoman,75,JP,1604294805,69,26.12,127.67,82.4,17.22
Batagay,91,RU,1604294805,88,67.63,134.63,-10.3,4.68
Cheb,100,CZ,1604294805,98,50.08,12.37,55.99,1.01
Rosarito,5,MX,1604294805,93,32.33,-117.03,68.0,2.66
Luxor,0,EG,1604294805,77,25.7,32.64,69.8,4.7
Kiryat Gat,89,IL,1604294805,80,31.61,34.76,70.0,5.41
Marsá Maţrūḩ,40,EG,1604294805,82,31.35,27.25,62.6,5.82
Boyolangu,46,ID,1604294805,69,-8.12,111.89,84.16,8.3
Pringsewu,78,ID,1604294806,55,-5.36,104.97,89.08,7.85
Ahipara,99,NZ,1604294444,89,-35.17,173.17,66.25,7.61
Sonoita,4,MX,1604294806,24,31.85,-112.83,72.0,2.06
Chino Valley,1,US,1604294806,57,34.76,-112.45,64.4,4.7
Hanzhong,0,CN,1604294806,28,33.07,107.03,65.66,1.7
Tual,68,ID,1604294806,74,-5.67,132.75,83.52,11.77
Lantana,1,US,1604294806,94,26.59,-80.05,79.0,4.79
Hamilton,1,US,1604294534,55,39.18,-84.53,35.01,10.29
Vengerovo,97,RU,1604294807,87,55.68,76.75,33.84,10.2
Rocha,3,UY,1604294807,91,-34.48,-54.33,48.33,1.7
Dwārka,0,IN,1604294807,35,22.24,68.97,85.35,10.92
Tuzha,10,RU,1604294807,96,57.61,47.94,29.05,4.0
Colmenar Viejo,6,ES,1604294807,90,40.66,-3.77,54.0,0.76
Saint-François,0,FR,1604294808,67,46.42,3.91,62.6,5.82
Caluquembe,61,AO,1604294808,83,-13.78,14.68,63.55,1.14
Chiplūn,3,IN,1604294808,52,17.53,73.52,88.65,1.88
Kattivākkam,20,IN,1604294756,59,13.22,80.32,89.6,3.36
Huittinen,90,FI,1604294808,81,61.18,22.7,46.0,18.34
Barra do Garças,76,BR,1604294535,82,-15.89,-52.26,70.52,2.42
Ngunguru,100,NZ,1604294808,83,-35.62,174.5,70.0,8.99
Swellendam,11,ZA,1604294809,77,-34.02,20.44,66.2,11.41
Roseburg,1,US,1604294809,81,43.22,-123.34,50.0,0.56
Dakar,0,SN,1604294809,53,14.69,-17.44,75.2,10.29
Gouré,25,NE,1604294809,27,13.98,10.27,75.99,8.99
Biała Podlaska,90,PL,1604294809,100,52.03,23.12,39.2,4.47
Mashivka,100,UA,1604294809,93,49.44,34.87,49.39,7.43
Empório,20,GR,1604294810,93,40.48,21.55,41.0,1.41
Shakiso,16,ET,1604294810,89,5.75,38.92,62.56,5.48
Savannah Bight,95,HN,1604294810,79,16.45,-85.85,82.85,21.72
Orsha,90,BY,1604294811,86,54.52,30.41,41.0,4.47
Duminichi,99,RU,1604294811,95,53.93,35.11,43.65,6.31
Almonte,20,ES,1604294811,80,37.26,-6.52,60.01,5.95
Burnie,55,AU,1604294811,63,-41.07,145.92,63.0,8.01
Sur,0,OM,1604294811,22,22.57,59.53,81.07,3.0
Sola,47,VU,1604294811,84,-13.88,167.55,81.19,17.34
Banda Aceh,100,ID,1604294599,68,5.56,95.32,84.88,8.81
Quatre Cocos,75,MU,1604294812,57,-20.21,57.76,75.2,10.29
Benidorm,0,ES,1604294812,99,38.54,-0.13,62.01,6.15
Buala,35,SB,1604294545,68,-8.14,159.59,85.77,3.62
Faanui,17,PF,1604294555,79,-16.48,-151.75,80.42,19.8
Bandar,96,ID,1604294813,52,2.05,99.75,91.58,2.01
Kutum,0,SD,1604294813,36,14.2,24.67,68.56,13.94
Pitimbu,75,BR,1604294600,83,-7.47,-34.81,77.0,4.7
Labuhan,99,ID,1604294813,65,-6.88,112.21,86.49,8.3
Korla,0,CN,1604294813,42,41.76,86.15,51.26,9.24
Springbok,0,ZA,1604294814,20,-29.66,17.89,77.0,13.87
Provideniya,40,RU,1604294814,62,64.38,-173.3,23.0,4.23
Pochutla,25,MX,1604294814,88,15.74,-96.47,77.0,3.76
Marovoay,40,MG,1604294814,51,-16.1,46.63,80.6,9.17
Henties Bay,100,NA,1604294814,93,-22.12,14.28,54.0,3.0
Paraíso,90,CR,1604294815,100,9.84,-83.87,68.0,1.12
Esfarāyen,0,IR,1604294815,29,37.08,57.51,51.8,2.01
Naze,20,JP,1604294815,69,28.37,129.48,80.6,5.82
Dera Bugti,0,PK,1604294815,11,29.03,69.15,81.57,5.99
Provincia di Grosseto,40,IT,1604294816,87,42.83,11.25,59.0,3.36
Tigzirt,0,DZ,1604294816,54,36.89,4.12,63.97,5.19
Havøysund,75,NO,1604294816,81,71.0,24.66,44.6,25.28
Bāglung,0,NP,1604294816,34,28.27,83.59,80.47,4.41
‘Ewa Beach,1,US,1604294817,83,21.32,-158.01,78.8,0.72
North Platte,1,US,1604294817,41,41.12,-100.77,42.8,8.05
Ciudad Bolivar,96,VE,1604294817,85,8.12,-63.55,78.08,2.68
Capela,20,BR,1604294817,78,-10.5,-37.05,78.8,9.17
Kavaratti,40,IN,1604294817,79,10.57,72.64,84.2,4.7
Kilimatinde,1,TZ,1604294818,64,-5.85,34.95,71.42,7.34
Barra do Corda,22,BR,1604294786,70,-5.5,-45.25,77.11,3.22
Otegen Batyra,75,KZ,1604294818,36,43.43,77.02,48.2,4.47
Annau,21,TM,1604294818,25,37.89,58.52,73.4,2.24
Santa Vitória do Palmar,32,BR,1604294818,86,-33.52,-53.37,51.98,3.22
Rochegda,81,RU,1604294818,96,62.8,43.25,26.98,4.59
Lac du Bonnet,100,CA,1604294819,69,50.25,-96.06,35.6,24.16
Nālūt,0,LY,1604294819,81,30.33,10.85,55.24,9.95
Shiraoi,75,JP,1604294819,77,42.55,141.35,63.0,18.34
Kargasok,98,RU,1604294820,96,59.06,80.86,32.5,11.65
Beyneu,0,KZ,1604294821,35,45.32,55.2,56.43,18.37
Wukari,94,NG,1604294822,88,7.85,9.78,72.99,2.62
Karatau,0,KZ,1604294822,31,43.17,70.47,56.89,1.52
Mujiayingzi,0,CN,1604294823,57,42.12,118.78,35.22,18.52
Brooks,41,CA,1604294824,60,50.58,-111.89,35.6,4.7
Krasnyy Profintern,90,RU,1604294824,93,57.74,40.44,35.6,4.47
Sibu,40,MY,1604294525,74,2.3,111.82,87.8,3.36
Ilhéus,95,BR,1604294825,96,-14.79,-39.05,70.14,8.79
Eyl,0,SO,1604294826,50,7.98,49.82,83.05,15.55
Thayetmyo,6,MM,1604294826,71,19.32,95.18,86.32,5.28
Trat,90,TH,1604294826,70,12.5,102.5,87.8,6.93
Vila Velha,75,BR,1604294786,72,-20.33,-40.29,68.0,14.99
Shihezi,0,CN,1604294828,49,44.3,86.03,47.25,2.64
Benjamin Constant,0,BR,1604294828,100,-4.38,-70.03,73.4,1.21
Chuzhou,69,CN,1604294828,30,32.32,118.3,70.9,7.34
Marsaxlokk,20,MT,1604294828,93,35.84,14.54,64.0,5.82
Cayenne,98,GF,1604294554,100,4.93,-52.33,75.2,3.36
Buchanan,25,LR,1604294829,89,5.88,-10.05,77.22,5.48
Linxia Chengguanzhen,98,CN,1604294829,50,35.6,103.21,45.52,3.49
Mirny,0,RU,1604294830,77,62.54,113.96,6.8,13.42
Raja,95,SS,1604294830,77,8.46,25.68,74.03,1.23
Slave Lake,75,CA,1604294830,86,55.28,-114.77,37.4,2.24
Deogarh,1,IN,1604294830,49,21.53,84.73,86.38,4.88
Turukhansk,100,RU,1604294831,98,65.82,87.98,21.06,11.39
Samarai,56,PG,1604294587,75,-10.62,150.67,83.82,11.81
Lüshunkou,90,CN,1604294831,41,38.8,121.27,55.4,13.42
Bukachacha,7,RU,1604294831,74,52.98,116.92,19.06,8.68
Coyhaique,0,CL,1604294193,62,-45.58,-72.07,51.8,3.36
Te Anau,10,NZ,1604294563,46,-45.42,167.72,58.89,3.56
Kotido,42,UG,1604294832,60,2.98,34.13,72.7,19.6
Sémbé,100,CG,1604294832,95,1.65,14.58,70.34,1.19
Tromsø,75,NO,1604294630,61,69.65,18.96,48.2,27.51
Haines Junction,100,CA,1604294833,84,60.75,-137.51,6.8,2.24
Bereket,0,TM,1604294833,18,39.24,55.52,74.62,8.41
Ostrovnoy,100,RU,1604294833,87,68.05,39.51,38.01,24.96
San Jerónimo,80,PE,1604294833,70,-11.95,-75.28,51.57,1.21
San Rafael,30,AR,1604294833,29,-34.62,-68.33,65.95,2.75
Juneau,90,US,1604294834,92,58.3,-134.42,30.2,9.17
Gilgit,0,PK,1604294834,27,35.92,74.31,58.3,2.19
Itarema,66,BR,1604294834,76,-2.92,-39.92,80.37,10.67
Juntas,100,CR,1604294834,92,10.28,-84.96,72.97,2.17
Majene,94,ID,1604294834,59,-3.54,118.97,87.22,6.04
Calama,0,CL,1604294835,35,-22.47,-68.93,42.8,11.41
Mariehamn,90,AX,1604294835,100,60.1,19.93,50.0,27.51
Karratha,15,AU,1604294836,43,-20.74,116.85,83.77,18.61
Kefamenanu,85,ID,1604294836,33,-9.45,124.48,92.25,11.79
Mercedes,4,AR,1604294837,96,-34.65,-59.43,57.0,6.04
Khani,90,GE,1604294838,77,41.96,42.96,59.0,3.36
Manaure,100,CO,1604294839,78,11.78,-72.44,81.9,7.78
Pacific Grove,90,US,1604294839,93,36.62,-121.92,55.4,4.7
Altamira,59,BR,1604294839,65,-3.2,-52.21,77.34,0.67
Moorhead,1,US,1604294715,84,46.87,-96.77,32.0,16.11
Touros,75,BR,1604294840,83,-5.2,-35.46,78.8,6.93
Balkhash,0,KZ,1604294840,33,46.84,74.98,46.4,4.47
Taltal,9,CL,1604294841,75,-25.4,-70.48,56.53,1.05
Bahir Dar,20,ET,1604294841,69,11.59,37.39,63.7,4.56
Acapulco de Juárez,63,MX,1604294841,78,16.86,-99.89,80.01,5.95
Hay River,100,CA,1604294841,85,60.82,-115.8,15.8,8.05
Puebloviejo,100,CO,1604294842,79,10.99,-74.28,79.0,3.0
Byron Bay,40,AU,1604294842,60,-28.65,153.62,73.4,21.92
Brufut,5,GM,1604294842,100,13.38,-16.75,75.2,2.24
Joshīmath,1,IN,1604294843,27,30.57,79.57,64.11,4.83
Dudinka,75,RU,1604294843,85,69.41,86.18,21.2,6.71
Panacan,75,PH,1604294843,79,9.25,118.41,84.2,6.93
